"Reference code","Product ID","Product name","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Combinations Impact on price (pre-tax)","Combinations (Attribute - value pair)","Combinations Impact on weight","Show price","Pre-tax wholesale price","Unit price (per)","Unit price (tax excl.)","Specific Price ID_1","Specific price Starting at (unit)_1","Specific price Group ID_1"
"A08007-6","617","Small Print - A Moose and Goose","5","25.00","","8"" x 10""","","","","0.00","Small Print - A Moose and Goose","0.00","1","0.00","","0.00","","",""
"A10012-6","618","Small Print - Sky Sisters","15","25.00","","10"" x 8""","","","","0.00","Small Print - Sky Sisters","0.00","1","0.00","","0.00","","",""
"A10004-6","619","Small Print - Merging Earth and Sky","10","25.00","","10"" x 8""","","","","0.00","Small Print - Merging Earth and Sky","0.00","1","0.00","","0.00","","",""
"A10046-6","620","Small Print - Geese Spirit","2","25.00","","10"" x 8""","","","","0.00","Small Print - Geese Spirit","0.00","1","0.00","","0.00","","",""
"A08045-6","622","Small Print - Patience","3","25.00","","8"" x 10""","","","","0.00","Small Print - Patience","0.00","1","0.00","","0.00","","",""
"A01029-6","623","Small Print - Birth of an Eagle Shadow","12","25.00","","8"" x 10""","","","","0.00","Small Print - Birth of an Eagle Shadow","0.00","1","0.00","","0.00","","",""
"A08019-6","624","Small Print - Unity","5","25.00","","8"" x 10""","","","","0.00","Small Print - Unity","0.00","1","0.00","","0.00","","",""
"A09006-6","625","Small Print - River Keeper","19","25.00","","8"" x 10""","","","","0.00","Small Print - River Keeper","0.00","1","0.00","","0.00","","",""
"A04015-6","626","Small Print - Rebirth","4","25.00","","8"" x 10""","","","","0.00","Small Print - Rebirth","0.00","1","0.00","","0.00","","",""
"A04039-6","627","Small Print - Nostalgia","18","25.00","","8"" x 10""","","","","0.00","Small Print - Nostalgia","0.00","1","0.00","","0.00","","",""
"A07020-6","628","Small Print - Journey to the Spirit World","16","25.00","","10"" x 8""","","","","0.00","Small Print - Journey to the Spirit World","0.00","1","0.00","","0.00","","",""
"W12024-6","630","Small Print - Breath of Life","14","25.00","","10"" x 8""","","","","0.00","Small Print - Breath of Life","0.00","1","0.00","","0.00","","",""
"W12017-6","631","Small Print - Synchronicity","16","25.00","","8"" x 10""","","","","0.00","Small Print - Synchronicity","0.00","1","0.00","","0.00","","",""
"W12008-6","632","Small Print - Winter wolves","5","25.00","","10"" x 8""","","","","0.00","Small Print - Winter wolves","0.00","1","0.00","","0.00","","",""
"W12001-6","633","Small Print - Dialogue","11","25.00","","10"" x 8""","","","","0.00","Small Print - Dialogue","0.00","1","0.00","","0.00","","",""
"W12014-6","634","Small Print - Gate of Silk","15","25.00","","10"" x 8""","","","","0.00","Small Print - Gate of Silk","0.00","1","0.00","","0.00","","",""
