"Reference code","Product ID","Product name","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Combinations Impact on price (pre-tax)","Combinations (Attribute - value pair)","Combinations Impact on weight","Show price","Pre-tax wholesale price","Unit price (per)","Unit price (tax excl.)","Specific Price ID_1","Specific price Starting at (unit)_1","Specific price Group ID_1"
"W12005-6","635","Small Print - Earth Keeper","7","25.00","","8"" x 10""","","","","0.00","Small Print - Earth Keeper","0.00","1","0.00","","0.00","","",""
"W12016-6","636","Small Print - Going Home","12","25.00","","8"" x 10""","","","","0.00","Small Print - Going Home","0.00","1","0.00","","0.00","163","1","5"
"W12018-6","638","Small Print - Early Evening Flowing Into Fall","8","25.00","","10"" x 8""","","","","0.00","Small Print - Early Evening Flowing Into Fall","0.00","1","0.00","","0.00","","",""
"A00048-6","640","Small Print - The Protector","13","25.00","","8"" x 10""","","","","0.00","Small Print - The Protector","0.00","1","0.00","","0.00","","",""
"A01003-6","641","Small Print - Sky Girl","12","25.00","","8"" x 10""","","","","0.00","Small Print - Sky Girl","0.00","1","0.00","","0.00","","",""
"A04060-6","642","Small Print - Passing Through","9","25.00","","8"" x 10""","","","","0.00","Small Print - Passing Through","0.00","1","0.00","","0.00","","",""
"A09054-6","643","Small print - Tranquility","10","25.00","","8"" x 10""","","","","0.00","Small print - Tranquility","0.00","1","0.00","","0.00","","",""
"A16055-6","644","Small Print - Abundance","14","25.00","","8"" x 10""","","","","0.00","Small Print - Abundance","0.00","1","0.00","","0.00","","",""
"A13041-6","645","Small Print - Lapinx","18","25.00","","8"" x 10""","","","","0.00","Small Print - Lapinx","0.00","1","0.00","","0.00","","",""
"A10044-6","646","Small Print - Returning","11","25.00","","10"" x 8""","","","","0.00","Small Print - Returning","0.00","1","0.00","","0.00","","",""
"A13056-6","647","Small print - Otherness","13","25.00","","10"" x 8""","","","","0.00","Small print - Otherness","0.00","1","0.00","","0.00","","",""
"A13057-6","648","Small Print - Origins","14","25.00","","8"" x 10""","","","","0.00","Small Print - Origins","0.00","1","0.00","","0.00","","",""
"A16052-6","650","Small Print - Zenith","6","25.00","","8"" x 10""","","","","0.00","Small Print - Zenith","0.00","1","0.00","","0.00","","",""
"A16058-6","651","Small Print - Silent Seekers","17","25.00","","10"" x 8""","","","","0.00","Small Print - Silent Seekers","0.00","1","0.00","","0.00","","",""
"A16059-6","652","Small Print - Wisdom Keepers","10","25.00","","10"" x 8""","","","","0.00","Small Print - Wisdom Keepers","0.00","1","0.00","","0.00","","",""
"A95053-6","653","Small Print - Messenger","10","25.00","","8"" x 10""","","","","0.00","Small Print - Messenger","0.00","1","0.00","","0.00","","",""
"A14051-6","654","Small Print - Gezaluwejit","3","25.00","","8"" x 10""","","","","0.00","Small Print - Gezaluwejit","0.00","1","0.00","","0.00","","",""
"W13026-6","655","Small Print - In Her World","16","25.00","","10"" x 8""","","","","0.00","Small Print - In Her World","0.00","1","0.00","","0.00","","",""
"W13047-6","656","Small Print - Inner Memories","6","25.00","","10"" x 8""","","","","0.00","Small Print - Inner Memories","0.00","1","0.00","","0.00","","",""
"A12050-6","658","Small Print - Ice Dream","6","25.00","","10"" x 8""","","","","0.00","Small Print - Ice Dream","0.00","1","0.00","","0.00","","",""
"W13027-6","659","Small Print - Playing With Shadows","15","25.00","","10"" x 8""","","","","0.00","Small Print - Playing With Shadows","0.00","1","0.00","","0.00","","",""
"A13053-6","660","Small Print - Roots Of Another World","14","25.00","","10"" x 8""","","","","0.00","Small Print - Roots Of Another World","0.00","1","0.00","","0.00","","",""
"A01038-6","661","Small Print - Harmony","3","25.00","","10"" x 8""","","","","0.00","Small Print - Harmony","0.00","1","0.00","","0.00","","",""
"A13042-6","663","Small Print - Carried Away","3","25.00","","8"" x 10""","","","","0.00","Small Print - Carried Away","0.00","1","0.00","","0.00","","",""
"W13023-6","664","Small Print - Water and Spirit Buffalo","16","25.00","","10"" x 8""","","","","0.00","Small Print - Water and Spirit Buffalo","0.00","1","0.00","","0.00","","",""
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","3","0.00","10.25"" x 13.25""","16"" x 20""","99","","1601","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1602","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1603","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1604","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01033-2","669","Ltd Edition - New Fire","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","1609","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A01033-2","669","Ltd Edition - New Fire","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1610","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01033-2","669","Ltd Edition - New Fire","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1611","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01033-2","669","Ltd Edition - New Fire","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1612","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01036-2","670","Ltd Edition - Teachings","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","1613","170.00","Frame Options - Without frame ","0.00","1","0.00","","0.00","","",""
"A01036-2","670","Ltd Edition - Teachings","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1614","335.00","Frame Options - Black rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01036-2","670","Ltd Edition - Teachings","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1615","335.00","Frame Options - Brown rustic frame 1""","0.00","1","0.00","","0.00","","",""
"A01036-2","670","Ltd Edition - Teachings","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","1616","335.00","Frame Options - Grey rustic frame 1""","0.00","1","0.00","","0.00","","",""
