"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)"
"Fab-15C","10499","15C Dream Catcher Mural","","10","55.00"
"Fab - 19D","10634","19D Multiple Small Fish Mobile","","7","30.00"
"Fab-19B","10683","19B Bird Mobile","","10","36.00"
"Fab-16B","10933","16B Goose Guardien","","5","36.00"
"Fab - 2D","11140","2D Candle Holder Month","","6","28.00"
"Fab-18","11141","18 Wooden Earth Game","","8","17.95"
"Ookpik","11182","Ookpik","9192","1","49.00"
"Ookpik","11182","Ookpik","9193","3","69.00"
"Ookpik","11182","Ookpik","9194","2","99.00"
"Papoose","11183","Papoose","","21","35.00"
"DCV30","11462","DCV30 ""Woodland""","","3","12.95"
"Plume-FUM","11496","Smudging Feather","9218","9","34.00"
"Plume-FUM","11496","Smudging Feather","9219","15","36.00"
"Collier-Totem","11678","Totem Animal Necklace","","4","9.95"
"MM11","11732","Key Chain","9225","6","7.95"
"MM11","11732","Key Chain","9226","4","7.95"
"MM11","11732","Key Chain","9227","0","7.95"
"MM11","11732","Key Chain","9228","3","7.95"
"MF2-12","11734","Feathers for Cars","","12","5.95"
"Fab-6","11819","6 Ornaments","","14","15.00"
"Fab-8A","11821","8A Smudging Kit","","6","32.00"
"Fab-13C","11822","13C Candle Holder Bone","","12","36.00"
"Fab-Buttons","11823","Buttons","","15","5.00"
"P-LOUPMARIN","12304","Plush with Seal Skin","9637","5","11.50"
"P-LOUPMARIN","12304","Plush with Seal Skin","9638","5","14.00"
"P-LOUPMARIN","12304","Plush with Seal Skin","9639","4","16.50"
"P-LOUPMARIN","12304","Plush with Seal Skin","9640","3","23.00"
"NE-Stones","12390","Stones - Tumbled","","164","0.95"
"Totem-Magnet","12462","Totem Animal Magnet","","22","7.50"
"Totem-Keychain","12464","Totem Animal Keychain","","5","7.50"
"Velvet Pouch","12632","Velvet Pouch","","178","0.30"
"Kayo-Tea","12634","Kayo-Tea","","10","8.00"
"Fab-3A","12747","3A Necklace on Cardboard - Arrow","","9","10.50"
"Fab-12D","12748","12D Bowl Medium with Bird","","7","36.00"
"DC1010","12774","DC1010 Earrings","9656","6","16.95"
"DC1010","12774","DC1010 Earrings","9657","3","16.95"
"DC1010","12774","DC1010 Earrings","9658","8","16.95"
"DC1010","12774","DC1010 Earrings","9659","3","16.95"
"DC1010-P","12775","DC1010 Pendant","9660","15","10.95"
"DC1010-P","12775","DC1010 Pendant","9661","13","10.95"
"DC1010-P","12775","DC1010 Pendant","9662","21","10.95"
"DC1010-P","12775","DC1010 Pendant","9663","0","10.95"
"DC15-P","12776","DC15 Pendant","","28","7.95"
"DC2-P","12778","DC2 Pendant","","35","9.95"
"DC23-P","12779","DC23 Pendant","","10","10.95"
"DC24-P","12780","DC24 Pendant","","6","10.95"
"DC10-P","12781","DC10 Pendentif","","16","7.95"
"DC17","12783","DC17 Earrings","","12","16.95"
"DC2","12784","DC2 Earrings","","35","14.95"
"DC15","12785","DC15 Earrings","","12","10.95"
"DC10","12786","DC10 Earrings","","5","10.95"
"DC15M","12787","DC15M Earrings","","10","12.95"
"VE1-17X","12788","Vintage Earrings","","8","17.95"
"ME500-5","12789","ME500-5 Earrings","","5","14.95"
"DC1600-4","12790","DC1600-4 Earrings","9664","0","16.95"
"DC1600-4","12790","DC1600-4 Earrings","9665","6","16.95"
"DC1600-4","12790","DC1600-4 Earrings","9666","4","16.95"
"DC1600-4","12790","DC1600-4 Earrings","9667","1","16.95"
"DC1600-4","12790","DC1600-4 Earrings","9668","3","16.95"
"ME/PI-MIX","12793","ME/PI-MIX Earrings","","9","10.95"
"DC17-P","12794","DC17 Pendant","","13","12.95"
"MM14-4","12795","Key Chain","","8","8.95"
"DCC19","12796","DCC19 Earrings","","6","19.95"
"DCC19-P","12797","DCC19 Pendant","","6","12.95"
"BB2-P","12798","BB2 Pendant ""Birch Bark""","","9","12.95"
"BB5-P","12799","BB5 Pendant ""Birch Bark""","","3","14.95"
"DC1600-4-P","12800","DC1600-4 Pendant","","3","12.95"
"FDBO","12804","Boucles d'Oreilles","9673","6","18.00"
"FDBO","12804","Boucles d'Oreilles","9674","64","21.00"
"FDBO","12804","Boucles d'Oreilles","9675","37","24.00"
"FDBRACELET","12805","Bracelet","9676","5","54.00"
"FDBRACELET","12805","Bracelet","9677","42","54.00"
