"Product name","Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Olivia Dress ""Unity""","A08019-WDR4501NC13A","Robe Olivia ""Union"" : Taille - P;Robe Olivia ""Union"" : Taille - M;Robe Olivia ""Union"" : Taille - L;Robe Olivia ""Union"" : Taille - XL;Robe Olivia ""Union"" : Taille - XP","1;0;0;0;0","76.00","159.00","8678;8679;8680;8681;8682","9898"
"Lea Dress ""Rebirth""","A04015-WDR4701NC14A","Robe Lea ""Renaissance"" : Taille - P;Robe Lea ""Renaissance"" : Taille - M;Robe Lea ""Renaissance"" : Taille - L;Robe Lea ""Renaissance"" : Taille - XL;Robe Lea ""Renaissance"" : Taille - XP","0;0;0;0;0","68.50","149.00","8718;8719;8720;8721;8722","9908"
"Carrie Dress ""Rebirth""","A04015-WDR4901NC14A","Robe Carrie ""Renaissance"" : Taille - P;Robe Carrie ""Renaissance"" : Taille - M;Robe Carrie ""Renaissance"" : Taille - L;Robe Carrie ""Renaissance"" : Taille - XL;Robe Carrie ""Renaissance"" : Taille - XP","0;0;0;0;0","78.50","149.00","8723;8724;8725;8726;8727","9909"
"Carrie Dress ""Unity""","A08019-WDR4901NC13A","Robe Carrie ""Union"" : Taille - P;Robe Carrie ""Union"" : Taille - M;Robe Carrie ""Union"" : Taille - L;Robe Carrie ""Union"" : Taille - XL;Robe Carrie ""Union"" : Taille - XP","0;0;0;0;0","78.50","149.00","8728;8729;8730;8731;8732","9910"
"Felicia ""Silent Seekers""","A16058-WDR3801NC04A","Felicia ""En Quête de Silence"" : Taille - P;Felicia ""En Quête de Silence"" : Taille - M;Felicia ""En Quête de Silence"" : Taille - L;Felicia ""En Quête de Silence"" : Taille - XL;Felicia ""En Quête de Silence"" : Taille - XP","0;0;0;0;0","62.00","149.00","9095;9096;9097;9098;9099","10394"
"Sophia ""Inner Memories""","W13047-WDR4301NC17A","Sophia ""Mémoires Ancestrales"" : Taille - XP;Sophia ""Mémoires Ancestrales"" : Taille - P;Sophia ""Mémoires Ancestrales"" : Taille - M;Sophia ""Mémoires Ancestrales"" : Taille - L;Sophia ""Mémoires Ancestrales"" : Taille - XL","0;0;0;0;0","69.00","179.00","9424;9425;9426;9427;9428","12085"
"Sophia ""Early Evening Flowing into Fall""","W12018-WDR4301NC0DA","Sophia ""Soirée Glissant vers l'Automne"" : Taille - XP;Sophia ""Soirée Glissant vers l'Automne"" : Taille - P;Sophia ""Soirée Glissant vers l'Automne"" : Taille - M;Sophia ""Soirée Glissant vers l'Automne"" : Taille - L;Sophia ""Soirée Glissant vers l'Automne"" : Taille - XL","0;0;0;0;0","69.00","179.00","9429;9430;9431;9432;9433","12087"
"Sophia ""The Forest Temple""","W11065-WDR4301NC0CA","Sophia ""Temple de la Forêt"" : Taille - P;Sophia ""Temple de la Forêt"" : Taille - M;Sophia ""Temple de la Forêt"" : Taille - L;Sophia ""Temple de la Forêt"" : Taille - XL;Sophia ""Temple de la Forêt"" : Taille - XP","0;0;0;0;0","69.00","179.00","9434;9435;9436;9437;9438","12088"
"Sophia ""Zenith""","W16052-WDR4301NC0BA","Taille - P;Taille - M;Taille - L;Taille - XL;Taille - XP","0;0;0;0;0","69.00","179.00","9439;9440;9441;9442;9443","12089"
"Sophia ""Earth Keeper""","W12005-WDR4301NC0WA","Sophia ""Gardienne de la Terre"" : Taille - P;Sophia ""Gardienne de la Terre"" : Taille - M;Sophia ""Gardienne de la Terre"" : Taille - L;Sophia ""Gardienne de la Terre"" : Taille - XL;Sophia ""Gardienne de la Terre"" : Taille - XP","0;0;0;0;0","69.00","179.00","9444;9445;9446;9447;9448","12090"
"Victoire ""Inner Memories""","W13047-WDR5301NC17B","Victoire ""Mémoires Ancestrales"" : Taille - XP;Victoire ""Mémoires Ancestrales"" : Taille - P;Victoire ""Mémoires Ancestrales"" : Taille - M;Victoire ""Mémoires Ancestrales"" : Taille - L;Victoire ""Mémoires Ancestrales"" : Taille - XL","0;0;0;0;0","61.50","159.00","9449;9450;9451;9452;9453","12098"
"Victoire ""Lapinx""","W13041-WDR5301NC0EB","Taille - P;Taille - M;Taille - L;Taille - XL;Taille - XP","0;0;0;0;0","61.50","159.00","9454;9455;9456;9457;9458","12101"
"Victoire ""Depth""","W17063-WDR5301NC02A","Victoire ""Profondeur"" : Taille - P;Victoire ""Profondeur"" : Taille - M;Victoire ""Profondeur"" : Taille - L;Victoire ""Profondeur"" : Taille - XL;Victoire ""Profondeur"" : Taille - XP","0;0;0;0;0","61.50","159.00","9459;9460;9461;9462;9463","12102"
"Victoire ""Zenith""","W16052-WDR5301NC0BA","Taille - P;Taille - M;Taille - L;Taille - XL;Taille - XP","0;0;0;0;0","61.50","159.00","9464;9465;9466;9467;9468","12103"
"Victoire ""Merging Earth and Sky""","W10004-WDR5301NC01A","Victoire ""Fusion entre Terre et Ciel"" : Taille - P;Victoire ""Fusion entre Terre et Ciel"" : Taille - M;Victoire ""Fusion entre Terre et Ciel"" : Taille - L;Victoire ""Fusion entre Terre et Ciel"" : Taille - XL;Victoire ""Fusion entre Terre et Ciel"" : Taille - XP","0;0;0;0;0","61.50","159.00","9469;9470;9471;9472;9473","12104"
"Sophia ""Earth Keeper"" Plus Size","W12005-WDR4401NC0WA","Sophia ""Gardienne de la Terre"" Taille Plus : Taille - 2X;Sophia ""Gardienne de la Terre"" Taille Plus : Taille - 3X;Sophia ""Gardienne de la Terre"" Taille Plus : Taille - 1X","0;0;0","73.00","179.00","9518;9519;9517","12188"
"Marina Beach ""Inner Memories""","W13047-RES0101NC17A","","0","46.00","109.00","","14013"
"Kate Dress ""Earth Keeper"" Plus Size","W12005-WDR5401NC0WA","Robe Kate ""Gardienne de la Terre"" Taille Plus : Taille - 2X;Robe Kate ""Gardienne de la Terre"" Taille Plus : Taille - 3X;Robe Kate ""Gardienne de la Terre"" Taille Plus : Taille - 1X","0;1;0","81.50","169.00","10351;10352;10350","14095"
"Kate Dress ""Silent Seekers"" Plus Size","A16058-WDR5401NC04A","Robe Kate ""En Quête de Silence"" Taille Plus : Taille - 2X;Robe Kate ""En Quête de Silence"" Taille Plus : Taille - 3X;Robe Kate ""En Quête de Silence"" Taille Plus : Taille - 1X","0;0;0","81.50","169.00","10353;10354;10355","14096"
"Elise Maxi ""Depth""","A17063-WDR4801NC02A","Elise Maxi ""Profondeur"" : Taille - XP;Elise Maxi ""Profondeur"" : Taille - P;Elise Maxi ""Profondeur"" : Taille - M;Elise Maxi ""Profondeur"" : Taille - L;Elise Maxi ""Profondeur"" : Taille - XL","0;0;0;0;0","56.00","149.00","10369;10370;10371;10372;10373","14173"
"Elise Maxi ""Water and Spirit Buffalo""","W13023-WDR4801NC16A","Elise Maxi ""Eau et Esprit du Bison"" : Taille - XP;Elise Maxi ""Eau et Esprit du Bison"" : Taille - P;Elise Maxi ""Eau et Esprit du Bison"" : Taille - M;Elise Maxi ""Eau et Esprit du Bison"" : Taille - L;Elise Maxi ""Eau et Esprit du Bison"" : Taille - XL","0;0;0;0;0","56.00","149.00","10374;10375;10376;10377;10378","14174"
"Kate Dress ""Unity""","A04015-WDR2601NC14A","Robe Kate ""Union"" : Taille - P;Robe Kate ""Union"" : Taille - M;Robe Kate ""Union"" : Taille - L;Robe Kate ""Union"" : Taille - XL;Robe Kate ""Union"" : Taille - XP","0;0;0;0;0","64.50","169.00","11004;11005;11006;11007;11008","15206"
"Michelle Dress ""Forest Temple""","A17065-WDR3201NC0CA","Robe Michelle ""Temple de la Forêt"" : Taille - P;Robe Michelle ""Temple de la Forêt"" : Taille - M;Robe Michelle ""Temple de la Forêt"" : Taille - L;Robe Michelle ""Temple de la Forêt"" : Taille - XL;Robe Michelle ""Temple de la Forêt"" : Taille - XP","0;0;0;0;0","67.50","159.00","11019;11020;11021;11022;11023","15211"
"Michelle Dress ""Wisdom Keepers""","A16059-WDR3201NC0IB","Robe Michelle ""Gardiens de la Sagesse"" : Taille - P;Robe Michelle ""Gardiens de la Sagesse"" : Taille - M;Robe Michelle ""Gardiens de la Sagesse"" : Taille - L;Robe Michelle ""Gardiens de la Sagesse"" : Taille - XL;Robe Michelle ""Gardiens de la Sagesse"" : Taille - XP","0;0;0;0;0","67.50","159.00","11058;11059;11060;11061;11062","15225"
"Jeanne Dress ""New Day""","A16059-WDR1001NC0FC","Robe Jeanne ""Nouveau Jour"" : Taille - P;Robe Jeanne ""Nouveau Jour"" : Taille - M;Robe Jeanne ""Nouveau Jour"" : Taille - L;Robe Jeanne ""Nouveau Jour"" : Taille - XL;Robe Jeanne ""Nouveau Jour"" : Taille - XP","0;0;0;0;0","67.00","159.00","11078;11079;11080;11081;11082","15230"
"Kate Dress ""New Day""","A08013-WDR2601NC0FD","Robe Kate ""Nouveau Jour"" : Taille - P;Robe Kate ""Nouveau Jour"" : Taille - M;Robe Kate ""Nouveau Jour"" : Taille - L;Robe Kate ""Nouveau Jour"" : Taille - XL;Robe Kate ""Nouveau Jour"" : Taille - XP","0;0;0;0;0","64.50","169.00","11110;11111;11112;11113;11114","15239"
