"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Unit price (tax excl.)","Unit price (per)"
"B442","3554","Leather Moccasins for Men","7009","Shoe Size - 11","0","96.00","0.00","0.00",""
"B442","3554","Leather Moccasins for Men","7010","Shoe Size - 12","1","96.00","0.00","0.00",""
"B442","3554","Leather Moccasins for Men","7011","Shoe Size - 13","1","96.00","0.00","0.00",""
"B442","3554","Leather Moccasins for Men","7014","Shoe Size - 9","0","96.00","0.00","0.00",""
"B442","3554","Leather Moccasins for Men","7486","Shoe Size - 6","0","96.00","0.00","0.00",""
"B442","3554","Leather Moccasins for Men","7487","Shoe Size - 7","0","96.00","0.00","0.00",""
"B442","3554","Leather Moccasins for Men","7488","Shoe Size - 8","1","96.00","0.00","0.00",""
"B442","3554","Leather Moccasins for Men","7489","Shoe Size - 14","0","99.00","0.00","0.00",""
"B442","3554","Leather Moccasins for Men","7490","Shoe Size - 15","0","99.00","0.00","0.00",""
"403","14595","Suede Moccasins for Men","10537","Shoe Size - 6","0","109.00","38.50","0.00",""
"403","14595","Suede Moccasins for Men","10538","Shoe Size - 7","0","109.00","38.50","0.00",""
"403","14595","Suede Moccasins for Men","10539","Shoe Size - 8","2","109.00","38.50","0.00",""
"403","14595","Suede Moccasins for Men","10540","Shoe Size - 9","0","109.00","38.50","0.00",""
"403","14595","Suede Moccasins for Men","10541","Shoe Size - 10","1","109.00","38.50","0.00",""
"403","14595","Suede Moccasins for Men","10542","Shoe Size - 11","0","109.00","38.50","0.00",""
"403","14595","Suede Moccasins for Men","10543","Shoe Size - 12","1","109.00","38.50","0.00",""
"403","14595","Suede Moccasins for Men","10544","Shoe Size - 13","0","109.00","38.50","0.00",""
"403","14595","Suede Moccasins for Men","10545","Shoe Size - 14","0","119.00","38.50","0.00",""
"403","14595","Suede Moccasins for Men","10546","Shoe Size - 15","0","119.00","38.50","0.00",""
"5100-0000-27-3112WS","15373","Leather Moccasins for Men","11364","Shoe Size - 6","0","117.00","50.80","0.00",""
"5100-0000-27-3112WS","15373","Leather Moccasins for Men","11365","Shoe Size - 7","0","117.00","50.80","0.00",""
"5100-0000-27-3112WS","15373","Leather Moccasins for Men","11366","Shoe Size - 8","0","117.00","50.80","0.00",""
"5100-0000-27-3112WS","15373","Leather Moccasins for Men","11367","Shoe Size - 9","1","117.00","50.80","0.00",""
"5100-0000-27-3112WS","15373","Leather Moccasins for Men","11368","Shoe Size - 10","1","117.00","50.80","0.00",""
"5100-0000-27-3112WS","15373","Leather Moccasins for Men","11369","Shoe Size - 11","1","117.00","50.80","0.00",""
"5100-0000-27-3112WS","15373","Leather Moccasins for Men","11370","Shoe Size - 12","0","117.00","50.80","0.00",""
"5100-0000-27-3112WS","15373","Leather Moccasins for Men","11371","Shoe Size - 13","0","117.00","50.80","0.00",""
"5100-0000-27-3112WS","15373","Leather Moccasins for Men","11372","Shoe Size - 14","1","117.00","50.80","0.00",""
"5100-0000-27-3112WS","15373","Leather Moccasins for Men","11373","Shoe Size - 15","1","117.00","50.80","0.00",""
"4172-0500-40-41474EMA","15389","Leather Moccasins for Men","11396","Shoe Size - 7","0","202.00","87.40","0.00",""
"4172-0500-40-41474EMA","15389","Leather Moccasins for Men","11397","Shoe Size - 8","0","202.00","87.40","0.00",""
