"Reference code","Product name","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product ID","Product Combinations ID"
"A17063-WBL1101NC02A","Nikki Cardigan ""Depth""","Cardigan Nikki ""Profondeur"" : Taille - XL","0","50.00","159.00","12106","9477"
"A17063-WBL1101NC02A","Nikki Cardigan ""Depth""","Cardigan Nikki ""Profondeur"" : Taille - XP","0","50.00","159.00","12106","9478"
"A16058-WBL1101NC04A","Nikki Cardigan ""Silent Seekers""","Cardigan Nikki ""En Quête de Silence"" : Taille - P","0","50.00","159.00","12107","9479"
"A16058-WBL1101NC04A","Nikki Cardigan ""Silent Seekers""","Cardigan Nikki ""En Quête de Silence"" : Taille - M","0","50.00","159.00","12107","9480"
"A16058-WBL1101NC04A","Nikki Cardigan ""Silent Seekers""","Cardigan Nikki ""En Quête de Silence"" : Taille - L","0","50.00","159.00","12107","9481"
"A16058-WBL1101NC04A","Nikki Cardigan ""Silent Seekers""","Cardigan Nikki ""En Quête de Silence"" : Taille - XL","0","50.00","159.00","12107","9482"
"A16058-WBL1101NC04A","Nikki Cardigan ""Silent Seekers""","Cardigan Nikki ""En Quête de Silence"" : Taille - XP","0","50.00","159.00","12107","9483"
"A16058-WBL1201NC04A","Nikki Cardigan ""Silent Seekers"" Plus Size","Cardigan Nikki ""En Quête de Silence"" Taille Plus : Taille - 1X","0","61.50","159.00","12108","9489"
"A16058-WBL1201NC04A","Nikki Cardigan ""Silent Seekers"" Plus Size","Cardigan Nikki ""En Quête de Silence"" Taille Plus : Taille - 2X","0","61.50","159.00","12108","9490"
"A16058-WBL1201NC04A","Nikki Cardigan ""Silent Seekers"" Plus Size","Cardigan Nikki ""En Quête de Silence"" Taille Plus : Taille - 3X","0","61.50","159.00","12108","9491"
"W12005-WBL1201NC0WA","Nikki Cardigan ""Earth Keeper"" Plus Size","Cardigan Nikki ""Gardienne de la Terre"" Taille Plus : Taille - 2X","0","50.00","159.00","14183","10394"
"W12005-WBL1201NC0WA","Nikki Cardigan ""Earth Keeper"" Plus Size","Cardigan Nikki ""Gardienne de la Terre"" Taille Plus : Taille - 3X","0","50.00","159.00","14183","10395"
"W12005-WBL1201NC0WA","Nikki Cardigan ""Earth Keeper"" Plus Size","Cardigan Nikki ""Gardienne de la Terre"" Taille Plus : Taille - 1X","0","50.00","159.00","14183","10396"
"OVR0101NC1JA","Oprah Cardigan ""Carried Away Under The Blue Moon""","Cardigan Oprah ""Emportée Sous La Lune Bleu""","0","54.00","139.00","14754",""
"OVR0101NC14A","Oprah Cardigan ""Silent Seekers""","Cardigan Oprah ""En Quête de Silence""","0","54.00","139.00","14755",""
"OVR0101NC1BA","Oprah Cardigan ""Geese Spirit""","Cardigan Oprah ""L'Esprit de l'Outarde""","0","54.00","139.00","14756",""
"A01036-WBL0301NC0ZA","Frida Cardigan ""Teachings""","Cardigan Frida ""Le Chant du Tambour"" : Taille - P","0","52.50","129.00","15197","10984"
"A01036-WBL0301NC0ZA","Frida Cardigan ""Teachings""","Cardigan Frida ""Le Chant du Tambour"" : Taille - M","0","52.50","129.00","15197","10985"
"A01036-WBL0301NC0ZA","Frida Cardigan ""Teachings""","Cardigan Frida ""Le Chant du Tambour"" : Taille - L","0","52.50","129.00","15197","10986"
"A01036-WBL0301NC0ZA","Frida Cardigan ""Teachings""","Cardigan Frida ""Le Chant du Tambour"" : Taille - XL","0","52.50","129.00","15197","10987"
"A01036-WBL0301NC0ZA","Frida Cardigan ""Teachings""","Cardigan Frida ""Le Chant du Tambour"" : Taille - XP","0","52.50","129.00","15197","10988"
"A16052-WBL0301NC0BA","Frida Cardigan ""Zenith""","Cardigan Frida ""Zenith"" : Taille - P","0","52.50","129.00","15249","11150"
"A16052-WBL0301NC0BA","Frida Cardigan ""Zenith""","Cardigan Frida ""Zenith"" : Taille - M","0","52.50","129.00","15249","11151"
"A16052-WBL0301NC0BA","Frida Cardigan ""Zenith""","Cardigan Frida ""Zenith"" : Taille - L","0","52.50","129.00","15249","11152"
"A16052-WBL0301NC0BA","Frida Cardigan ""Zenith""","Cardigan Frida ""Zenith"" : Taille - XL","0","52.50","129.00","15249","11153"
"A16052-WBL0301NC0BA","Frida Cardigan ""Zenith""","Cardigan Frida ""Zenith"" : Taille - XP","0","52.50","129.00","15249","11154"
