"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","11_FEATURE_Approx. size framed","5_FEATURE_Compositions"
"W12001-2","691","Ltd Edition - Dialogue","1875","Frame Options - Brown rustic frame 1""","0","0.00","13.5” x 5”","19.25” x 10.875”","99","","21"" x 12.625""",""
"W12001-2","691","Ltd Edition - Dialogue","1876","Frame Options - Grey rustic frame 1""","0","0.00","13.5” x 5”","19.25” x 10.875”","99","","21"" x 12.625""",""
"W12014-2","692","Ltd Edition - Gate of Silk","1737","Frame Options - Without frame ","4","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"W12014-2","692","Ltd Edition - Gate of Silk","1738","Frame Options - Black rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"W12014-2","692","Ltd Edition - Gate of Silk","1739","Frame Options - Brown rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"W12014-2","692","Ltd Edition - Gate of Silk","1740","Frame Options - Grey rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","1741","Frame Options - Without frame ","2","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","1742","Frame Options - Black rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","1743","Frame Options - Brown rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","1744","Frame Options - Grey rustic frame 1""","0","0.00","13.25"" x 10.25""","20"" x 16""","99","","21.75"" x 17.75""",""
"A01003-2","699","Ltd Edition - Sky Girl","1641","Frame Options - Without frame ","3","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01003-2","699","Ltd Edition - Sky Girl","1642","Frame Options - Black rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01003-2","699","Ltd Edition - Sky Girl","1643","Frame Options - Brown rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A01003-2","699","Ltd Edition - Sky Girl","1644","Frame Options - Grey rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A09054-2","701","Ltd Edition - Tranquility","1645","Frame Options - Without frame ","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A09054-2","701","Ltd Edition - Tranquility","1646","Frame Options - Black rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A09054-2","701","Ltd Edition - Tranquility","1647","Frame Options - Brown rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A09054-2","701","Ltd Edition - Tranquility","1648","Frame Options - Grey rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A16055-2","702","Ltd Edition - Abundance","1649","Frame Options - Without frame ","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A16055-2","702","Ltd Edition - Abundance","1650","Frame Options - Brown rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A16055-2","702","Ltd Edition - Abundance","1651","Frame Options - Black rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A16055-2","702","Ltd Edition - Abundance","1652","Frame Options - Grey rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A13041-2","703","Ltd Edition - Lapinx","1917","Frame Options - Without frame ","4","0.00","6"" x 18""","11.75"" x 23.875""","99","","13.5"" x 25.625""",""
"A13041-2","703","Ltd Edition - Lapinx","1918","Frame Options - Black rustic frame 1""","0","0.00","6"" x 18""","11.75"" x 23.875""","99","","13.5"" x 25.625""",""
"A13041-2","703","Ltd Edition - Lapinx","1919","Frame Options - Brown rustic frame 1""","0","0.00","6"" x 18""","11.75"" x 23.875""","99","","13.5"" x 25.625""",""
"A13041-2","703","Ltd Edition - Lapinx","1920","Frame Options - Grey rustic frame 1""","0","0.00","6"" x 18""","11.75"" x 23.875""","99","","13.5"" x 25.625""",""
"A13056-2","705","Ltd Edition - Otherness","1877","Frame Options - Without frame ","2","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","21"" x 14.375""",""
"A13056-2","705","Ltd Edition - Otherness","1878","Frame Options - Black rustic frame 1""","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","21"" x 14.375""",""
"A13056-2","705","Ltd Edition - Otherness","1879","Frame Options - Brown rustic frame 1""","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","21"" x 14.375""",""
"A13056-2","705","Ltd Edition - Otherness","1880","Frame Options - Grey rustic frame 1""","0","0.00","13.5” x 6.75”","19.25” x 12.625”","99","","21"" x 14.375""",""
"A16051-2","707","Ltd Edition - Northern Keepers","1521","Frame Options - Without frame ","2","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
"A16051-2","707","Ltd Edition - Northern Keepers","1522","Frame Options - Black rustic frame 1""","0","0.00","10.25"" x 13.25""","16"" x 20""","99","","17.75"" x 21.75""",""
