"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"6080-0408-41FG-669","561","Ladies Suede Slippers","","","","","7115","1","108","46.9"
"6080-0408-41FG-669","561","Ladies Suede Slippers","","","","","7116","0","108","46.9"
"6080-0408-41FG-669","561","Ladies Suede Slippers","","","","","7117","0","108","46.9"
"6080-0408-41FG-669","561","Ladies Suede Slippers","","","","","7118","0","108","46.9"
"6080-0408-41FG-669","561","Ladies Suede Slippers","","","","","7119","1","108","46.9"
"6080-0408-41FG-669","561","Ladies Suede Slippers","","","","","7120","1","108","46.9"
"6080-0408-41BLPL-6531","572","Ladies Suede Slippers","","","","","854","0","108","46.9"
"6080-0408-41BLPL-6531","572","Ladies Suede Slippers","","","","","7129","0","108","46.9"
"6080-0408-41BLPL-6531","572","Ladies Suede Slippers","","","","","7130","0","108","46.9"
"6080-0408-41BLPL-6531","572","Ladies Suede Slippers","","","","","7131","0","108","46.9"
"6080-0408-41BLPL-6531","572","Ladies Suede Slippers","","","","","7132","0","108","46.9"
"6080-0408-41BLPL-6531","572","Ladies Suede Slippers","","","","","7133","0","108","46.9"
"6080-0408-41BLPL-6531","572","Ladies Suede Slippers","","","","","7134","0","108","46.9"
"6080-0408-41BLPL-6531","572","Ladies Suede Slippers","","","","","7135","1","108","46.9"
"6080-0408-41BLPL-6531","572","Ladies Suede Slippers","","","","","7136","0","108","46.9"
"6080-0408-41CHOBL-6733","576","Ladies Suede Slippers","","","","","885","0","108","46.9"
"6080-0408-41CHOBL-6733","576","Ladies Suede Slippers","","","","","886","0","108","46.9"
"6080-0408-41CHOBL-6733","576","Ladies Suede Slippers","","","","","887","0","108","46.9"
"6080-0408-41CHOBL-6733","576","Ladies Suede Slippers","","","","","888","0","108","46.9"
"6080-0408-41CHOBL-6733","576","Ladies Suede Slippers","","","","","889","1","108","46.9"
"6080-0408-41CHOBL-6733","576","Ladies Suede Slippers","","","","","890","0","108","46.9"
"6080-0408-41CHOBL-6733","576","Ladies Suede Slippers","","","","","891","0","108","46.9"
"6080-0408-41CHOBL-6733","576","Ladies Suede Slippers","","","","","892","0","108","46.9"
"6080-0408-41CHOBL-6733","576","Ladies Suede Slippers","","","","","893","0","108","46.9"
"6080-0408-12NB-12658","583","Suede Slippers with sole","","","","","949","0","132","57.3"
"6080-0408-12NB-12658","583","Suede Slippers with sole","","","","","954","0","132","57.3"
"6080-0408-12NB-12658","583","Suede Slippers with sole","","","","","7162","0","132","57.3"
"6080-0408-12NB-12658","583","Suede Slippers with sole","","","","","7163","0","132","57.3"
"6080-0408-12NB-12658","583","Suede Slippers with sole","","","","","7164","0","132","57.3"
"6080-0408-12NB-12658","583","Suede Slippers with sole","","","","","7165","0","132","57.3"
"6080-0408-12NB-12658","583","Suede Slippers with sole","","","","","7166","0","132","57.3"
"6080-0408-12NB-12658","583","Suede Slippers with sole","","","","","7167","0","132","57.3"
"6080-0408-12NB-12658","583","Suede Slippers with sole","","","","","7168","0","132","57.3"
"6080-0408-13CHO-13673","585","Suede Slippers with sole","","","","","966","0","132","57.3"
"6080-0408-13CHO-13673","585","Suede Slippers with sole","","","","","967","0","132","57.3"
"6080-0408-13CHO-13673","585","Suede Slippers with sole","","","","","968","0","132","57.3"
"6080-0408-13CHO-13673","585","Suede Slippers with sole","","","","","969","0","132","57.3"
"6080-0408-13CHO-13673","585","Suede Slippers with sole","","","","","970","1","132","57.3"
"6080-0408-13CHO-13673","585","Suede Slippers with sole","","","","","971","0","132","57.3"
"6080-0408-13CHO-13673","585","Suede Slippers with sole","","","","","972","0","132","57.3"
"6080-0408-13CHO-13673","585","Suede Slippers with sole","","","","","973","0","132","57.3"
"6080-0408-13CHO-13673","585","Suede Slippers with sole","","","","","974","0","132","57.3"
"A01031-6","609","Small Print - Honoring the Giver of Life","","8"" x 10""","","","","19","25","10.87"
"A01032-6","610","Small Print - Moon Wisdom","","8"" x 10""","","","","73","25","10.87"
"A01033-6","611","Small Print - New Fire","","8"" x 10""","","","","87","25","10.87"
"A01036-6","612","Small Print - Teachings","","8"" x 10""","","","","94","25","10.87"
"A01037-6","615","Small Print - Trust","","8"" x 10""","","","","2","25","10.87"
"A01029-6","623","Small Print - Birth of an Eagle Shadow","","8"" x 10""","","","","4","25","10.87"
"A09006-6","625","Small Print - River Keeper","","8"" x 10""","","","","38","25","10.87"
"A04039-6","627","Small Print - Nostalgia","","8"" x 10""","","","","13","25","10.87"
"A07020-6","628","Small Print - Journey to the Spirit World","","10"" x 8""","","","","6","25","10.87"
"W12024-6","630","Small Print - Breath of Life","","10"" x 8""","","","","71","25","10.87"
"W12017-6","631","Small Print - Synchronicity","","8"" x 10""","","","","66","25","10.87"
"W12008-6","632","Small Print - Winter Wolves","","10"" x 8""","","","","24","25","10.87"
"W12001-6","633","Small Print - Dialogue","","10"" x 8""","","","","9","25","10.87"
"W12014-6","634","Small Print - Gate of Silk","","10"" x 8""","","","","6","25","10.87"
"W12005-6","635","Small Print - Earth Keeper","","8"" x 10""","","","","42","25","10.87"
"W12016-6","636","Small Print - Going Home","","8"" x 10""","","","","9","25","10.87"
"W12018-6","638","Small Print - Early Evening Flowing Into Fall","","10"" x 8""","","","","11","25","10.87"
"A00048-6","640","Small Print - The Protector","","8"" x 10""","","","","3","25","10.87"
"A01003-6","641","Small Print - Sky Girl","","8"" x 10""","","","","7","25","10.87"
"A09054-6","643","Small print - Tranquility","","8"" x 10""","","","","5","25","10.87"
"A16055-6","644","Small Print - Abundance","","8"" x 10""","","","","12","25","10.87"
"A13041-6","645","Small Print - Lapinx","","8"" x 10""","","","","14","25","10.87"
"A10044-6","646","Small Print - Returning","","10"" x 8""","","","","4","25","10.87"
"A13056-6","647","Small print - Otherness","","10"" x 8""","","","","12","25","10.87"
"A13057-6","648","Small Print - Origins","","8"" x 10""","","","","10","25","10.87"
"A16058-6","651","Small Print - Silent Seekers","","10"" x 8""","","","","9","25","10.87"
"A95053-6","653","Small Print - Messenger","","8"" x 10""","","","","3","25","10.87"
"A14051-POD2554","654","Matted Print - Gezaluwejit","","11"" x 14""","","","","3","20","7.5"
"W13026-6","655","Small Print - In Her World","","10"" x 8""","","","","15","25","10.87"
"W13027-6","659","Small Print - Playing With Shadows","","10"" x 8""","","","","15","25","10.87"
"A13053-6","660","Small Print - Roots Of Another World","","10"" x 8""","","","","8","25","10.87"
"A01038-6","661","Small Print - Harmony","","10"" x 8""","","","","50","25","10.87"
"W13023-6","664","Small Print - Water and Spirit Buffalo","","10"" x 8""","","","","11","25","10.87"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1593","2","170","0"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1594","0","335","0"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1595","0","335","0"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1596","0","335","0"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1601","2","170","0"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1602","0","335","0"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1603","0","335","0"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1604","0","335","0"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1605","2","170","0"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1606","0","335","0"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1607","0","335","0"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1608","0","335","0"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1613","3","170","0"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1614","0","335","0"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1615","0","335","0"
"A01036-2","670","Ltd Edition - Teachings","10.25"" x 13.25""","16"" x 20""","99","","1616","0","335","0"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1889","4","140","0"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1890","0","305","0"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1891","0","305","0"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1892","0","305","0"
"A08019-2","682","Ltd Edition - Unity","12” x 12”","17.75” 17.875”","99","","1805","2","170","0"
"A08019-2","682","Ltd Edition - Unity","12” x 12”","17.75” 17.875”","99","","1806","0","335","0"
"A08019-2","682","Ltd Edition - Unity","12” x 12”","17.75” 17.875”","99","","1807","0","335","0"
"A08019-2","682","Ltd Edition - Unity","12” x 12”","17.75” 17.875”","99","","1808","0","335","0"
"A09006-2","683","Ltd Edition - River Keeper","8” x 13.5”","13.75” x 19.375”","99","","1909","2","155","0"
"A09006-2","683","Ltd Edition - River Keeper","8” x 13.5”","13.75” x 19.375”","99","","1910","0","320","0"
"A09006-2","683","Ltd Edition - River Keeper","8” x 13.5”","13.75” x 19.375”","99","","1911","0","320","0"
"A09006-2","683","Ltd Edition - River Keeper","8” x 13.5”","13.75” x 19.375”","99","","1912","0","320","0"
"A04015-2","684","Ltd Edition - Rebirth","12” x 12”","17.75” 17.875”","99","","1809","2","170","0"
"A04015-2","684","Ltd Edition - Rebirth","12” x 12”","17.75” 17.875”","99","","1810","0","335","0"
"A04015-2","684","Ltd Edition - Rebirth","12” x 12”","17.75” 17.875”","99","","1811","0","335","0"
"A04015-2","684","Ltd Edition - Rebirth","12” x 12”","17.75” 17.875”","99","","1812","0","335","0"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1813","3","170","0"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1814","0","335","0"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1815","0","335","0"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1816","0","335","0"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1629","3","170","0"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1630","0","335","0"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1631","0","335","0"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1632","0","335","0"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1737","4","170","0"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1738","0","335","0"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1739","0","335","0"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1740","0","335","0"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1741","2","170","0"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1742","0","335","0"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1743","0","335","0"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1744","0","335","0"
"A00048-2","698","Ltd Edition - The Protector","10.25"" x 13.25""","16"" x 20""","99","","1653","2","170","0"
"A00048-2","698","Ltd Edition - The Protector","10.25"" x 13.25""","16"" x 20""","99","","1654","0","335","0"
"A00048-2","698","Ltd Edition - The Protector","10.25"" x 13.25""","16"" x 20""","99","","1655","0","335","0"
