"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price","Pre-tax retail price"
"804","1058","Suede Moccasins for Men","7898","Shoe Size - 14","0","164.00","70.50","0.00","0.00"
"804","1058","Suede Moccasins for Men","7899","Shoe Size - 15","0","164.00","70.50","0.00","0.00"
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3663","Shoe Size - 6","0","174.00","73.70","72.00","0.00"
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3664","Shoe Size - 7","2","174.00","73.70","72.00","0.00"
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3665","Shoe Size - 8","1","174.00","73.70","72.00","0.00"
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3668","Shoe Size - 11","1","174.00","73.70","72.00","0.00"
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3670","Shoe Size - 13","1","174.00","73.70","72.00","0.00"
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","6905","Shoe Size - 14","0","174.00","73.70","72.00","0.00"
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7286","Shoe Size - 9","1","174.00","73.70","72.00","0.00"
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7287","Shoe Size - 10","1","174.00","73.70","72.00","0.00"
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7288","Shoe Size - 12","1","174.00","73.70","72.00","0.00"
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7289","Shoe Size - 15","0","174.00","73.70","72.00","0.00"
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3683","Shoe Size - 6","0","170.00","73.70","73.00","170.00"
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3685","Shoe Size - 8","1","170.00","73.70","73.00","170.00"
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3686","Shoe Size - 9","1","170.00","73.70","73.00","170.00"
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3689","Shoe Size - 12","1","170.00","73.70","73.00","170.00"
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3690","Shoe Size - 13","1","170.00","73.70","73.00","170.00"
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7290","Shoe Size - 7","1","170.00","73.70","73.00","170.00"
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7291","Shoe Size - 10","1","170.00","73.70","73.00","170.00"
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7292","Shoe Size - 11","1","170.00","73.70","73.00","170.00"
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7293","Shoe Size - 14","1","170.00","73.70","77.00","170.00"
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","7294","Shoe Size - 15","0","170.00","73.70","73.00","170.00"
"6080-0408-41BL-653","1105","Suede Slippers for Men","3718","Shoe Size - 6","0","125.00","54.30","52.00","125.00"
"6080-0408-41BL-653","1105","Suede Slippers for Men","3719","Shoe Size - 7","1","125.00","54.30","52.00","125.00"
"6080-0408-41BL-653","1105","Suede Slippers for Men","3720","Shoe Size - 8","1","125.00","54.30","52.00","125.00"
"6080-0408-41BL-653","1105","Suede Slippers for Men","3721","Shoe Size - 9","1","125.00","54.30","52.00","125.00"
"6080-0408-41BL-653","1105","Suede Slippers for Men","3722","Shoe Size - 10","0","125.00","54.30","52.00","125.00"
"6080-0408-41BL-653","1105","Suede Slippers for Men","3723","Shoe Size - 11","2","125.00","54.30","52.00","125.00"
"6080-0408-41BL-653","1105","Suede Slippers for Men","3724","Shoe Size - 12","1","125.00","54.30","52.00","125.00"
"6080-0408-41BL-653","1105","Suede Slippers for Men","6907","Shoe Size - 15","0","125.00","54.30","62.00","125.00"
"6080-0408-41BL-653","1105","Suede Slippers for Men","7302","Shoe Size - 13","1","125.00","54.30","52.00","125.00"
"6080-0408-41BL-653","1105","Suede Slippers for Men","7303","Shoe Size - 14","1","125.00","54.30","57.00","125.00"
"5000-0000-27-78CHORK","1106","Suede Moccasins for Men","3735","Shoe Size - 6","0","98.00","42.60","0.00","98.00"
