"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1813","2","170.00"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1814","0","335.00"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1815","0","335.00"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1816","0","335.00"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1629","3","170.00"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1630","0","335.00"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1631","0","335.00"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1632","0","335.00"
"W12001-2","691","Ltd Edition - Dialogue","13.5” x 5”","19.25” x 10.875”","99","","1873","2","135.00"
"W12001-2","691","Ltd Edition - Dialogue","13.5” x 5”","19.25” x 10.875”","99","","1874","0","305.00"
"W12001-2","691","Ltd Edition - Dialogue","13.5” x 5”","19.25” x 10.875”","99","","1875","0","305.00"
"W12001-2","691","Ltd Edition - Dialogue","13.5” x 5”","19.25” x 10.875”","99","","1876","0","305.00"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1737","4","170.00"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1738","0","335.00"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1739","0","335.00"
"W12014-2","692","Ltd Edition - Gate of Silk","13.25"" x 10.25""","20"" x 16""","99","","1740","0","335.00"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1741","2","170.00"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1742","0","335.00"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1743","0","335.00"
"W12018-2","696","Ltd Edition - Early Evening Flowing into Fall","13.25"" x 10.25""","20"" x 16""","99","","1744","0","335.00"
"A01003-2","699","Ltd Edition - Sky Girl","10.25"" x 13.25""","16"" x 20""","99","","1641","3","170.00"
"A01003-2","699","Ltd Edition - Sky Girl","10.25"" x 13.25""","16"" x 20""","99","","1642","0","335.00"
"A01003-2","699","Ltd Edition - Sky Girl","10.25"" x 13.25""","16"" x 20""","99","","1643","0","335.00"
"A01003-2","699","Ltd Edition - Sky Girl","10.25"" x 13.25""","16"" x 20""","99","","1644","0","335.00"
"A09054-2","701","Ltd Edition - Tranquility","10.25"" x 13.25""","16"" x 20""","99","","1645","2","170.00"
"A09054-2","701","Ltd Edition - Tranquility","10.25"" x 13.25""","16"" x 20""","99","","1646","0","335.00"
"A09054-2","701","Ltd Edition - Tranquility","10.25"" x 13.25""","16"" x 20""","99","","1647","0","335.00"
"A09054-2","701","Ltd Edition - Tranquility","10.25"" x 13.25""","16"" x 20""","99","","1648","0","335.00"
"A16055-2","702","Ltd Edition - Abundance","10.25"" x 13.25""","16"" x 20""","99","","1649","2","170.00"
"A16055-2","702","Ltd Edition - Abundance","10.25"" x 13.25""","16"" x 20""","99","","1650","0","335.00"
"A16055-2","702","Ltd Edition - Abundance","10.25"" x 13.25""","16"" x 20""","99","","1651","0","335.00"
"A16055-2","702","Ltd Edition - Abundance","10.25"" x 13.25""","16"" x 20""","99","","1652","0","335.00"
"A13041-2","703","Ltd Edition - Lapinx","6"" x 18""","11.75"" x 23.875""","99","","1917","4","155.00"
"A13041-2","703","Ltd Edition - Lapinx","6"" x 18""","11.75"" x 23.875""","99","","1918","0","320.00"
"A13041-2","703","Ltd Edition - Lapinx","6"" x 18""","11.75"" x 23.875""","99","","1919","0","320.00"
"A13041-2","703","Ltd Edition - Lapinx","6"" x 18""","11.75"" x 23.875""","99","","1920","0","320.00"
"A13056-2","705","Ltd Edition - Otherness","13.5” x 6.75”","19.25” x 12.625”","99","","1877","2","140.00"
"A13056-2","705","Ltd Edition - Otherness","13.5” x 6.75”","19.25” x 12.625”","99","","1878","0","305.00"
"A13056-2","705","Ltd Edition - Otherness","13.5” x 6.75”","19.25” x 12.625”","99","","1879","0","305.00"
"A13056-2","705","Ltd Edition - Otherness","13.5” x 6.75”","19.25” x 12.625”","99","","1880","0","305.00"
"A16051-2","707","Ltd Edition - Northern Keepers","10.25"" x 13.25""","16"" x 20""","99","","1521","2","170.00"
"A16051-2","707","Ltd Edition - Northern Keepers","10.25"" x 13.25""","16"" x 20""","99","","1522","0","335.00"
"A16051-2","707","Ltd Edition - Northern Keepers","10.25"" x 13.25""","16"" x 20""","99","","1523","0","335.00"
"A16051-2","707","Ltd Edition - Northern Keepers","10.25"" x 13.25""","16"" x 20""","99","","1524","0","335.00"
"A16058-2","709","Ltd Edition - Silent Seekers","13.5” x 6.75”","19.25” x 12.625”","99","","1881","3","140.00"
"A16058-2","709","Ltd Edition - Silent Seekers","13.5” x 6.75”","19.25” x 12.625”","99","","1882","0","305.00"
"A16058-2","709","Ltd Edition - Silent Seekers","13.5” x 6.75”","19.25” x 12.625”","99","","1883","0","305.00"
"A16058-2","709","Ltd Edition - Silent Seekers","13.5” x 6.75”","19.25” x 12.625”","99","","1884","0","305.00"
"A95053-2","711","Ltd Edition - Messenger","6.75” x 13.5”","12.5” x 19.375”","99","","1893","4","140.00"
"A95053-2","711","Ltd Edition - Messenger","6.75” x 13.5”","12.5” x 19.375”","99","","1894","0","305.00"
"A95053-2","711","Ltd Edition - Messenger","6.75” x 13.5”","12.5” x 19.375”","99","","1895","0","305.00"
"A95053-2","711","Ltd Edition - Messenger","6.75” x 13.5”","12.5” x 19.375”","99","","1896","0","305.00"
"A14051-2","712","Ltd Edition - Gezaluwejit","10.25"" x 13.25""","16"" x 20""","99","","1529","2","170.00"
"A14051-2","712","Ltd Edition - Gezaluwejit","10.25"" x 13.25""","16"" x 20""","99","","1530","0","335.00"
"A14051-2","712","Ltd Edition - Gezaluwejit","10.25"" x 13.25""","16"" x 20""","99","","1531","0","335.00"
"A14051-2","712","Ltd Edition - Gezaluwejit","10.25"" x 13.25""","16"" x 20""","99","","1532","0","335.00"
"W13047-2","714","Ltd Edition - Inner Memories","13.25"" x 10.25""","20"" x 16""","99","","1753","5","170.00"
"W13047-2","714","Ltd Edition - Inner Memories","13.25"" x 10.25""","20"" x 16""","99","","1754","0","335.00"
"W13047-2","714","Ltd Edition - Inner Memories","13.25"" x 10.25""","20"" x 16""","99","","1755","0","335.00"
"W13047-2","714","Ltd Edition - Inner Memories","13.25"" x 10.25""","20"" x 16""","99","","1756","0","335.00"
"A01038-2","719","Ltd Edition - Harmony","13.25"" x 10.25""","20"" x 16""","99","","1930","2","170.00"
"A01038-2","719","Ltd Edition - Harmony","13.25"" x 10.25""","20"" x 16""","99","","1931","0","335.00"
"A01038-2","719","Ltd Edition - Harmony","13.25"" x 10.25""","20"" x 16""","99","","1932","0","335.00"
"A01038-2","719","Ltd Edition - Harmony","13.25"" x 10.25""","20"" x 16""","99","","1933","0","335.00"
"A13042-2","721","Ltd Edition - Carried Away","6.75” x 13.5”","12.5” x 19.375”","99","","1897","2","140.00"
"A13042-2","721","Ltd Edition - Carried Away","6.75” x 13.5”","12.5” x 19.375”","99","","1898","0","305.00"
"A13042-2","721","Ltd Edition - Carried Away","6.75” x 13.5”","12.5” x 19.375”","99","","1899","0","305.00"
"A13042-2","721","Ltd Edition - Carried Away","6.75” x 13.5”","12.5” x 19.375”","99","","1900","0","305.00"
"A09006-1","741","Canvas - River Keeper","15"" x 24""","","","","1854","0","495.00"
"A09006-1","741","Canvas - River Keeper","15"" x 24""","","","","1855","0","495.00"
"A09006-1","741","Canvas - River Keeper","15"" x 24""","","","","1856","0","495.00"
"A09006-1","741","Canvas - River Keeper","15"" x 24""","","","","8134","1","315.00"
