"Product ID","Product Combinations ID","Show price","Pre-tax wholesale price","Pre-tax retail price","Final price (pre-tax)","Retail price with tax","Final price (with-tax)","Quantity"
"746","1669","1","0.00","0.00","325.00","0.00","373.67","0"
"746","1670","1","0.00","0.00","425.00","0.00","488.65","0"
"746","1671","1","0.00","0.00","425.00","0.00","488.65","0"
"746","1672","1","0.00","0.00","425.00","0.00","488.65","0"
"761","1861","1","0.00","0.00","395.00","0.00","454.16","1"
"761","1862","1","0.00","0.00","495.00","0.00","569.13","0"
"761","1863","1","0.00","0.00","495.00","0.00","569.13","0"
"761","1864","1","0.00","0.00","495.00","0.00","569.13","0"
"766","1866","1","0.00","0.00","345.00","0.00","396.67","0"
"766","1867","1","0.00","0.00","345.00","0.00","396.67","0"
"766","1868","1","0.00","0.00","345.00","0.00","396.67","0"
"766","9715","1","0.00","0.00","245.00","0.00","281.69","0"
"767","1829","1","0.00","0.00","295.00","0.00","339.18","0"
"767","1830","1","0.00","0.00","425.00","0.00","488.65","1"
"767","1831","1","0.00","0.00","425.00","0.00","488.65","0"
"767","1832","1","0.00","0.00","425.00","0.00","488.65","0"
"768","1833","1","0.00","0.00","225.00","0.00","258.70","0"
"768","1834","1","0.00","0.00","325.00","0.00","373.67","0"
"768","1835","1","0.00","0.00","325.00","0.00","373.67","0"
"768","1836","1","0.00","0.00","325.00","0.00","373.67","0"
"768","7802","1","0.00","0.00","295.00","0.00","339.18","0"
"768","7803","1","0.00","0.00","395.00","0.00","454.16","0"
"768","7804","1","0.00","0.00","395.00","0.00","454.16","0"
"768","7805","1","0.00","0.00","395.00","0.00","454.16","0"
"770","1525","1","0.00","0.00","295.00","0.00","339.18","1"
"770","1526","1","0.00","0.00","395.00","0.00","454.16","0"
"770","1527","1","0.00","0.00","395.00","0.00","454.16","0"
"770","1528","1","0.00","0.00","395.00","0.00","454.16","0"
"772","1693","1","0.00","0.00","295.00","0.00","339.18","1"
"772","1694","1","0.00","0.00","395.00","0.00","454.16","0"
"772","1695","1","0.00","0.00","395.00","0.00","454.16","0"
"772","1696","1","0.00","0.00","395.00","0.00","454.16","0"
"774","1697","1","0.00","0.00","295.00","0.00","339.18","1"
"774","1698","1","0.00","0.00","395.00","0.00","454.16","0"
"774","1699","1","0.00","0.00","395.00","0.00","454.16","0"
"774","1700","1","0.00","0.00","395.00","0.00","454.16","0"
"779","1846","1","0.00","0.00","325.00","0.00","373.67","0"
"779","1847","1","0.00","0.00","325.00","0.00","373.67","0"
"779","1848","1","0.00","0.00","325.00","0.00","373.67","0"
"779","7728","1","0.00","0.00","250.00","0.00","287.44","1"
"781","","1","2.75","6.35","6.35","7.30","7.30","5"
"782","","1","2.75","6.35","6.35","7.30","7.30","8"
"783","","1","2.50","5.50","5.50","6.32","6.32","0"
"784","","1","2.75","6.35","6.35","7.30","7.30","3"
"785","","1","7.50","20.00","20.00","23.00","23.00","2"
"786","","1","10.87","25.00","25.00","28.74","28.74","11"
"787","","1","7.50","20.00","20.00","23.00","23.00","0"
"788","","1","10.87","25.00","25.00","28.74","28.74","1"
"789","1901","1","0.00","0.00","140.00","0.00","160.97","1"
"789","1902","1","0.00","0.00","305.00","0.00","350.68","0"
"789","1903","1","0.00","0.00","305.00","0.00","350.68","0"
"789","1904","1","0.00","0.00","305.00","0.00","350.68","0"
"790","1926","1","0.00","0.00","335.00","0.00","385.17","0"
"790","1927","1","0.00","0.00","335.00","0.00","385.17","0"
"790","1928","1","0.00","0.00","335.00","0.00","385.17","0"
"790","11349","1","0.00","0.00","135.00","0.00","155.22","0"
"790","11350","1","0.00","0.00","190.00","0.00","218.45","2"
"791","1513","1","0.00","0.00","170.00","0.00","195.46","2"
"791","1514","1","0.00","0.00","335.00","0.00","385.17","0"
"791","1515","1","0.00","0.00","335.00","0.00","385.17","0"
"791","1516","1","0.00","0.00","335.00","0.00","385.17","0"
"792","1773","1","0.00","0.00","170.00","0.00","195.46","2"
