"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax retail price"
"A01038-2","719","Ltd Edition - Harmony","13.25"" x 10.25""","20"" x 16""","99","","1931","0","335.00","0.00"
"A01038-2","719","Ltd Edition - Harmony","13.25"" x 10.25""","20"" x 16""","99","","1932","0","335.00","0.00"
"A01038-2","719","Ltd Edition - Harmony","13.25"" x 10.25""","20"" x 16""","99","","1933","0","335.00","0.00"
"A13042-2","721","Ltd Edition - Carried Away","6.75” x 13.5”","12.5” x 19.375”","99","","1897","2","140.00","0.00"
"A13042-2","721","Ltd Edition - Carried Away","6.75” x 13.5”","12.5” x 19.375”","99","","1898","0","305.00","0.00"
"A13042-2","721","Ltd Edition - Carried Away","6.75” x 13.5”","12.5” x 19.375”","99","","1899","0","305.00","0.00"
"A13042-2","721","Ltd Edition - Carried Away","6.75” x 13.5”","12.5” x 19.375”","99","","1900","0","305.00","0.00"
"A17065-POD2578","781","Card - The Forest Temple","","","","6"" x 9""","","4","6.35","6.35"
"A17063-POD2550","782","Card - Depth","","","","6"" x 9""","","7","6.35","6.35"
"W17062-7","783","Card - Horizon","","","","5"" x 7""","","2","5.50","5.50"
"A17064-POD2563","784","Card - M'Otter love","","","","6"" x 9""","","31","6.35","6.35"
"W17062-6","786","Small Print - Horizon","","8"" x 10""","","","","12","25.00","25.00"
"A17065-6","788","Small Print - The Forest Temple","","8"" x 10""","","","","8","25.00","25.00"
"A17063-2","791","Ltd Edition - Depth","10.25” x 13.25”","16"" x 20""","99","","1513","2","170.00","0.00"
"A17063-2","791","Ltd Edition - Depth","10.25” x 13.25”","16"" x 20""","99","","1514","0","335.00","0.00"
"A17063-2","791","Ltd Edition - Depth","10.25” x 13.25”","16"" x 20""","99","","1515","0","335.00","0.00"
"A17063-2","791","Ltd Edition - Depth","10.25” x 13.25”","16"" x 20""","99","","1516","0","335.00","0.00"
"W17062-2","792","Ltd Edition - Horizon","13.25"" x 10.25""","20” x 16”","99","","1773","2","170.00","0.00"
"W17062-2","792","Ltd Edition - Horizon","13.25"" x 10.25""","20” x 16”","99","","1774","0","335.00","0.00"
"W17062-2","792","Ltd Edition - Horizon","13.25"" x 10.25""","20” x 16”","99","","1775","0","335.00","0.00"
"W17062-2","792","Ltd Edition - Horizon","13.25"" x 10.25""","20” x 16”","99","","1776","0","335.00","0.00"
"A08021-7","797","Card - Wikwemikong","","","","5"" x 7""","","4","5.50","5.50"
"A09055-7","798","Card - Abundance","","","","5"" x 7""","","13","5.50","5.50"
