"Reference code","Product name","Product Combinations ID","Pre-tax retail price","Quantity","Product ID"
"A08013-WDR2901NC0FA","Joni Dress ""New Day""","3105","139","0","976"
"A08013-WDR2901NC0FA","Joni Dress ""New Day""","3106","139","1","976"
"A08011-WDR3201NC0HA","Michelle Dress ""Whisper""","3157","129","0","981"
"A08011-WDR3201NC0HA","Michelle Dress ""Whisper""","3158","129","-1","981"
"A08011-WDR3201NC0HA","Michelle Dress ""Whisper""","3159","129","0","981"
"A08011-WDR3201NC0HA","Michelle Dress ""Whisper""","3160","129","1","981"
"A08011-WDR3201NC0HA","Michelle Dress ""Whisper""","3161","129","2","981"
"A16051-WSS0701NC05A","Yoko Cape Tunic ""Nothern Keepers""","3182","129","1","861"
"A16051-WSS0701NC05A","Yoko Cape Tunic ""Nothern Keepers""","3183","129","1","861"
"A16051-WSS0701NC05A","Yoko Cape Tunic ""Nothern Keepers""","3184","129","0","861"
"A16051-WSS0701NC05A","Yoko Cape Tunic ""Nothern Keepers""","3185","129","0","861"
"A16051-WSS0701NC05A","Yoko Cape Tunic ""Nothern Keepers""","3186","129","0","861"
"A13041-WSS0701NC0EB","Yoko Cape Tunic ""Lapinx""","3212","129","0","1066"
"A13041-WSS0701NC0EB","Yoko Cape Tunic ""Lapinx""","3213","129","1","1066"
"A13041-WSS0701NC0EB","Yoko Cape Tunic ""Lapinx""","3214","129","1","1066"
"A13041-WSS0701NC0EB","Yoko Cape Tunic ""Lapinx""","3215","129","0","1066"
"A13041-WSS0701NC0EB","Yoko Cape Tunic ""Lapinx""","3216","129","0","1066"
"A17063-WLS0401NC02A","Dolly Top ""Depth""","3232","119","1","939"
"A17063-WLS0401NC02A","Dolly Top ""Depth""","3233","119","0","939"
"A17063-WLS0401NC02A","Dolly Top ""Depth""","3234","119","0","939"
"A17063-WLS0401NC02A","Dolly Top ""Depth""","3235","119","1","939"
"A17063-WLS0401NC02A","Dolly Top ""Depth""","3236","119","0","939"
"A17064-WNS0701NC03A","Coco Tank ""M'Otter Love""","3307","69","1","966"
"A17064-WNS0701NC03A","Coco Tank ""M'Otter Love""","3308","69","1","966"
"A17064-WNS0701NC03A","Coco Tank ""M'Otter Love""","3309","69","0","966"
"A17064-WNS0701NC03A","Coco Tank ""M'Otter Love""","3310","69","0","966"
"A17064-WNS0701NC03A","Coco Tank ""M'Otter Love""","3311","69","0","966"
"A17065-WSS0901NC0CB","K Smith T-Shirt ""The Forest Temple""","3322","79","0","968"
"A17065-WSS0901NC0CB","K Smith T-Shirt ""The Forest Temple""","3323","79","1","968"
"A17065-WSS0901NC0CB","K Smith T-Shirt ""The Forest Temple""","3324","79","0","968"
"A17065-WSS0901NC0CB","K Smith T-Shirt ""The Forest Temple""","3325","79","1","968"
"A17065-WSS0901NC0CB","K Smith T-Shirt ""The Forest Temple""","3326","79","0","968"
"150RD","Ballerina Slippers","3444","96","2","1082"
"150RD","Ballerina Slippers","3445","96","0","1082"
"150RD","Ballerina Slippers","3448","96","0","1082"
"150RD","Ballerina Slippers","3449","96","0","1082"
"150ST","Ballerina Slippers","3456","96","2","1083"
"150ST","Ballerina Slippers","3461","96","0","1083"
"5000-0008-12BL-1493CHO","Ladies Suede Moccasins","3656","65","0","1100"
"5000-0008-12BL-1493CHO","Ladies Suede Moccasins","3657","65","1","1100"
"5000-0008-12BL-1493CHO","Ladies Suede Moccasins","3661","65","1","1100"
"9013-0300-47RK-19245RK","Mukluks for Men","3862","285","1","1118"
"9013-0300-47RK-19245RK","Mukluks for Men","3863","285","1","1118"
"9813-0408-86BL2-986486BL","Ladies Mukluks","3982","380","2","1112"
"SKU-54-54-541","Crossbody City Bag, Bear Box","4020","150","2","1132"
"SKU-54-54-541","Crossbody City Bag, Bear Box","4021","150","0","1132"
"SKU-54-54-541","Crossbody City Bag, Bear Box","4022","150","0","1132"
"55-55-016","Dorothy Grant City Bag","4023","87.5","0","867"
"55-55-016","Dorothy Grant City Bag","4024","87.5","2","867"
"55-55-016","Dorothy Grant City Bag","4025","87.5","0","867"
"SKU-54-54-380","City Bag, Bear Box","4027","92","0","489"
"SKU-54-54-380","City Bag, Bear Box","4028","92","0","489"
"SKU-54-54-380","City Bag, Bear Box","4029","92","1","489"
"SKU-54-54-380","City Bag, Bear Box","4030","92","1","489"
"SKU: 54-54-350","Wristlet, Raven","4058","42","0","1142"
"SKU: 54-54-350","Wristlet, Raven","4059","42","0","1142"
"SKU: 54-54-350","Wristlet, Raven","4060","42","0","1142"
"SKU: 54-54-350","Wristlet, Raven","4061","42","2","1142"
"SKU: 54-54-350","Wristlet, Raven","4067","42","0","1142"
"SKU: 54-54-350","Wristlet, Raven","4068","42","0","1142"
"SKU: 54-54-232","Sacoche de Soirée, Bear Box","4078","46","0","525"
"SKU: 54-54-232","Sacoche de Soirée, Bear Box","4079","46","0","525"
"SKU: 54-54-232","Sacoche de Soirée, Bear Box","4081","46","1","525"
"SKU: 54-54-232","Sacoche de Soirée, Bear Box","4082","46","1","525"
