"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"ME500-5","12789","ME500-5 Earrings","","2","14.95","0.00"
"DC1600-4","12790","DC1600-4 Earrings","9664","0","16.95","0.00"
"DC1600-4","12790","DC1600-4 Earrings","9665","3","16.95","0.00"
"DC1600-4","12790","DC1600-4 Earrings","9666","1","16.95","0.00"
"DC1600-4","12790","DC1600-4 Earrings","9667","0","16.95","0.00"
"DC1600-4","12790","DC1600-4 Earrings","9668","2","16.95","0.00"
"ME/PI-MIX","12793","ME/PI-MIX Earrings","","3","10.95","0.00"
"DC17-P","12794","DC17 Pendant","","11","12.95","0.00"
"MM14-4","12795","Key Chain","","7","8.95","0.00"
"DCC19","12796","DCC19 Earrings","","3","19.95","0.00"
"DCC19-P","12797","DCC19 Pendant","","5","12.95","0.00"
"BB2-P","12798","BB2 Pendant ""Birch Bark""","","5","12.95","0.00"
"DC1600-4-P","12800","DC1600-4 Pendant","","2","12.95","0.00"
"FDBO","12804","Boucles d'Oreilles","9673","10","18.00","0.00"
"FDBO","12804","Boucles d'Oreilles","9674","55","21.00","0.00"
"FDBO","12804","Boucles d'Oreilles","9675","21","24.00","0.00"
"FDBRACELET","12805","Bracelet","9676","1","54.00","0.00"
"FDBRACELET","12805","Bracelet","9677","42","54.00","0.00"
"FDBROACHES","12806","Broaches","9678","12","18.00","0.00"
"FDBROACHES","12806","Broaches","9679","42","24.00","0.00"
"FDBROACHES","12806","Broaches","9680","7","26.00","0.00"
"FDMONEYCLIP","12808","Money Clip","","15","26.00","0.00"
"FDOPENERS","12809","Letter Openers","9702","2","24.00","0.00"
"FDOPENERS","12809","Letter Openers","9703","3","28.00","0.00"
"FDKEYRING","12813","Key Ring","","8","18.00","0.00"
"FDNECKLACE","12814","Necklaces","9687","45","21.00","0.00"
"FDNECKLACE","12814","Necklaces","9688","57","20.00","0.00"
"FDNECKLACE","12814","Necklaces","9690","21","22.00","0.00"
"FDNECKLACE","12814","Necklaces","9696","67","22.00","0.00"
