"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2950","Size - L","0","129.00","52.50"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2951","Size - XL","0","129.00","52.50"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2952","Size - XS","1","129.00","52.50"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2953","Size - S","1","129.00","52.50"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2954","Size - M","1","129.00","52.50"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2955","Size - L","1","129.00","52.50"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2956","Size - XL","1","129.00","52.50"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2957","Size - XS","1","129.00","52.50"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2958","Size - S","1","129.00","52.50"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2959","Size - M","1","129.00","52.50"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2960","Size - L","1","129.00","52.50"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2961","Size - XL","1","129.00","52.50"
"A10004-WAC0201NC01A","961","Vivienne Scarf ""Merging Earth and Sky""","","Vivienne Scarf ""Merging Earth and Sky""","3","59.00","23.00"
"W12018-WAC0201NC0DB","962","Vivienne Scarf ""Early Evening Flowing into Fall""","","Vivienne Scarf ""Early Evening Flowing into Fall""","4","59.00","23.00"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3297","Size - XS","1","79.00","34.35"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3298","Size - S","1","79.00","34.35"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3299","Size - M","1","79.00","34.35"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3300","Size - L","1","79.00","34.35"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3301","Size - XL","1","79.00","34.35"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3302","Size - XS","0","79.00","34.35"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3303","Size - S","1","79.00","34.35"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3304","Size - M","1","79.00","34.35"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3305","Size - L","0","79.00","34.35"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3306","Size - XL","1","79.00","34.35"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3307","Size - XS","1","79.00","34.35"
