"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Pre-tax retail price","Combinations (Attribute - value pair)"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3108","0","149.00","Size - S"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3109","1","149.00","Size - M"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3110","1","149.00","Size - L"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3111","1","149.00","Size - XL"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2927","1","129.00","Size - XS"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2928","1","129.00","Size - S"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2929","1","129.00","Size - M"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2930","1","129.00","Size - L"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2931","1","129.00","Size - XL"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2942","1","129.00","Size - XS"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2943","2","129.00","Size - S"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2944","0","129.00","Size - M"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2945","1","129.00","Size - L"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2946","1","129.00","Size - XL"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2937","1","129.00","Size - XS"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2938","1","129.00","Size - S"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2939","1","129.00","Size - M"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2940","1","129.00","Size - L"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2941","0","129.00","Size - XL"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2922","0","129.00","Size - XS"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2923","1","129.00","Size - S"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2924","2","129.00","Size - M"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2925","1","129.00","Size - L"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2926","1","129.00","Size - XL"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3277","1","129.00","Size - XS"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3278","2","129.00","Size - S"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3279","0","129.00","Size - M"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3280","0","129.00","Size - L"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3281","0","129.00","Size - XL"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2947","1","129.00","Size - XS"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2948","0","129.00","Size - S"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2949","1","129.00","Size - M"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2950","1","129.00","Size - L"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2951","0","129.00","Size - XL"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2952","1","129.00","Size - XS"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2953","1","129.00","Size - S"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2954","1","129.00","Size - M"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2955","1","129.00","Size - L"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2956","1","129.00","Size - XL"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2957","2","129.00","Size - XS"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2958","1","129.00","Size - S"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2959","1","129.00","Size - M"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2960","2","129.00","Size - L"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2961","1","129.00","Size - XL"
"A10004-WAC0201NC01A","961","Vivienne Scarf ""Merging Earth and Sky""","","3","59.00","Vivienne Scarf ""Merging Earth and Sky"""
"W12018-WAC0201NC0DB","962","Vivienne Scarf ""Early Evening Flowing into Fall""","","2","59.00","Vivienne Scarf ""Early Evening Flowing into Fall"""
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3297","1","79.00","Size - XS"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3298","0","79.00","Size - S"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3299","1","79.00","Size - M"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3300","1","79.00","Size - L"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3301","1","79.00","Size - XL"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3302","0","79.00","Size - XS"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3303","2","79.00","Size - S"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3304","1","79.00","Size - M"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3305","1","79.00","Size - L"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3306","1","79.00","Size - XL"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3307","1","79.00","Size - XS"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3308","1","79.00","Size - S"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3309","1","79.00","Size - M"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3310","1","79.00","Size - L"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3311","1","79.00","Size - XL"
"A17064-WBL0601NCO3A","977","Kimono ""M'Otter Love""","2368","5","129.00","Size - TU/OS"
"W12018-WBL0601NCODA","978","Kimono ""Early Evening Flowing into Fall""","2369","2","129.00","Size - TU/OS"
"A17065-WBL0601NCOCA","979","Kimono ""Forest Temple""","2370","2","129.00","Size - TU/OS"
"A17063-WBL0601NCO2A","980","Kimono ""Depth""","2371","5","129.00","Size - TU/OS"
"A08011-WDR3201NC0HA","981","Michelle Dress ""Whisper""","3157","0","149.00","Size - XS"
"A08011-WDR3201NC0HA","981","Michelle Dress ""Whisper""","3158","0","149.00","Size - S"
"A08011-WDR3201NC0HA","981","Michelle Dress ""Whisper""","3159","0","149.00","Size - M"
"A08011-WDR3201NC0HA","981","Michelle Dress ""Whisper""","3160","0","149.00","Size - L"
"A08011-WDR3201NC0HA","981","Michelle Dress ""Whisper""","3161","2","149.00","Size - XL"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2962","1","129.00","Size - XS"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2963","1","129.00","Size - S"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2964","0","129.00","Size - M"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2965","0","129.00","Size - L"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2966","0","129.00","Size - XL"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2967","1","129.00","Size - XS"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2968","1","129.00","Size - S"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2969","1","129.00","Size - M"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2970","0","129.00","Size - L"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2971","1","129.00","Size - XL"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2972","1","129.00","Size - XS"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2973","0","129.00","Size - S"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2974","1","129.00","Size - M"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2975","1","129.00","Size - L"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2976","1","129.00","Size - XL"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3017","1","109.00","Size - XS"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3018","0","109.00","Size - S"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3019","0","109.00","Size - M"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3020","1","109.00","Size - L"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3021","0","109.00","Size - XL"
"A13041-WAC0201NC0EA","994","Vivienne Scarf ""Lapinx""","","5","59.00","Vivienne Scarf ""Lapinx"""
"W18053-WAC0201NC0JB","995","Vivienne Scarf ""Masters of the North""","","4","59.00","Vivienne Scarf ""Masters of the North"""
"A08013-WAC0201NC0FC","997","Vivienne Scarf ""New Day""","","3","59.00","Vivienne Scarf ""New Day"""
"A08011-WAC0201NC0HB","998","Vivienne Scarf ""Whisper""","","3","59.00","Vivienne Scarf ""Whisper"""
