"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2944","Cardigan Frida ""Murmure"" : Taille - M","1","129.00"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2945","Cardigan Frida ""Murmure"" : Taille - L","1","129.00"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2946","Cardigan Frida ""Murmure"" : Taille - XL","0","129.00"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2937","Cardigan Frida ""Temple de la Forêt"" : Taille - XP","1","129.00"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2938","Cardigan Frida ""Temple de la Forêt"" : Taille - P","1","129.00"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2939","Cardigan Frida ""Temple de la Forêt"" : Taille - M","1","129.00"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2940","Cardigan Frida ""Temple de la Forêt"" : Taille - L","0","129.00"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2941","Cardigan Frida ""Temple de la Forêt"" : Taille - XL","0","129.00"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2922","Cardigan Frida ""Voyage vers le Monde du Songe"" : Taille - XP","0","129.00"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2923","Cardigan Frida ""Voyage vers le Monde du Songe"" : Taille - P","1","129.00"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2924","Cardigan Frida ""Voyage vers le Monde du Songe"" : Taille - M","1","129.00"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2925","Cardigan Frida ""Voyage vers le Monde du Songe"" : Taille - L","1","129.00"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2926","Cardigan Frida ""Voyage vers le Monde du Songe"" : Taille - XL","1","129.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3277","Débardeur Kaplan ""Nouveau Jour"" : Taille - XP","1","129.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3278","Débardeur Kaplan ""Nouveau Jour"" : Taille - P","2","129.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3279","Débardeur Kaplan ""Nouveau Jour"" : Taille - M","0","129.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3280","Débardeur Kaplan ""Nouveau Jour"" : Taille - L","0","129.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3281","Débardeur Kaplan ""Nouveau Jour"" : Taille - XL","0","129.00"
"A16059-MSS0701NC0DA","952","Salvadore Tee for Men ""Early Evening Flowing Into Fall""","3342","Salvador Tee pour Homme ""Soirée Glissant Vers l'Automne"" : Taille - XP","0","89.00"
"A16059-MSS0701NC0DA","952","Salvadore Tee for Men ""Early Evening Flowing Into Fall""","3343","Salvador Tee pour Homme ""Soirée Glissant Vers l'Automne"" : Taille - P","0","89.00"
"A16059-MSS0701NC0DA","952","Salvadore Tee for Men ""Early Evening Flowing Into Fall""","3344","Salvador Tee pour Homme ""Soirée Glissant Vers l'Automne"" : Taille - M","1","89.00"
"A16059-MSS0701NC0DA","952","Salvadore Tee for Men ""Early Evening Flowing Into Fall""","3345","Salvador Tee pour Homme ""Soirée Glissant Vers l'Automne"" : Taille - L","1","89.00"
"A16059-MSS0701NC0DA","952","Salvadore Tee for Men ""Early Evening Flowing Into Fall""","3346","Salvador Tee pour Homme ""Soirée Glissant Vers l'Automne"" : Taille - XL","1","89.00"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2947","Cardigan  Frida ""Fusion entre Terre et Ciel"" : Taille - XP","1","129.00"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2948","Cardigan  Frida ""Fusion entre Terre et Ciel"" : Taille - P","0","129.00"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2949","Cardigan  Frida ""Fusion entre Terre et Ciel"" : Taille - M","1","129.00"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2950","Cardigan  Frida ""Fusion entre Terre et Ciel"" : Taille - L","1","129.00"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2951","Cardigan  Frida ""Fusion entre Terre et Ciel"" : Taille - XL","0","129.00"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2952","Cardigan Frida ""L'Outre Mère"" : Taille - XP","1","129.00"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2953","Cardigan Frida ""L'Outre Mère"" : Taille - P","1","129.00"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2954","Cardigan Frida ""L'Outre Mère"" : Taille - M","1","129.00"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2955","Cardigan Frida ""L'Outre Mère"" : Taille - L","1","129.00"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2956","Cardigan Frida ""L'Outre Mère"" : Taille - XL","1","129.00"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2957","Cardigan Frida ""En Quête de Silence"" : Taille - XP","1","129.00"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2958","Cardigan Frida ""En Quête de Silence"" : Taille - P","1","129.00"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2959","Cardigan Frida ""En Quête de Silence"" : Taille - M","1","129.00"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2960","Cardigan Frida ""En Quête de Silence"" : Taille - L","2","129.00"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2961","Cardigan Frida ""En Quête de Silence"" : Taille - XL","1","129.00"
"A10004-WAC0201NC01A","961","Vivienne Scarf ""Merging Earth and Sky""","","Foulard Vivienne ""Fusion entre Terre et Ciel""","3","59.00"
"W12018-WAC0201NC0DB","962","Vivienne Scarf ""Early Evening Flowing into Fall""","","Foulard Vivienne ""Soirée Glissant vers l'Automne""","3","59.00"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3297","Débardeur Coco ""Profondeur"" : Taille - XP","1","79.00"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3298","Débardeur Coco ""Profondeur"" : Taille - P","1","79.00"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3299","Débardeur Coco ""Profondeur"" : Taille - M","1","79.00"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3300","Débardeur Coco ""Profondeur"" : Taille - L","1","79.00"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3301","Débardeur Coco ""Profondeur"" : Taille - XL","1","79.00"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3302","Débardeur Coco ""Nouveau Jour"" : Taille - XP","0","79.00"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3303","Débardeur Coco ""Nouveau Jour"" : Taille - P","2","79.00"
